pig_age_days,weight_kg,breed,daily_feed_kg,feed_freq,feed_type,fcr,weight_gain_kg_day,growth_stage,body_condition,temperature_c,health_status
123,62.5,Landrace,2.44,2,Grower_2,3.1,0.787,grower,2.3,26.7,healthy
113,70.4,Landrace,2.52,3,Grower_1,3.16,0.796,grower,3.2,29.5,recovering
35,5.0,Large_White,0.28,3,Pre_Starter_1,1.5,0.188,pre_starter,2.3,32.0,sick
127,87.4,Large_White,3.73,2,Grower_1,3.01,1.237,grower,3.0,26.5,healthy
92,31.6,Pietrain,1.24,3,Grower_1,2.46,0.504,grower,2.6,31.2,healthy
41,5.0,Duroc,0.34,4,Pre_Starter_2,1.43,0.239,pre_starter,2.0,28.5,healthy
123,67.5,Landrace,2.37,2,Grower_1,2.89,0.819,grower,2.9,27.6,healthy
142,89.9,Pietrain,2.51,2,Finisher_1,3.37,0.746,finisher,2.5,29.9,healthy
95,56.1,Large_White,2.43,3,Grower_2,2.73,0.889,grower,2.8,29.3,recovering
108,78.8,LW_LR_Cross,3.46,3,Grower_2,2.56,1.355,grower,2.7,29.6,healthy
137,90.2,Landrace,3.15,2,Finisher_2,4.02,0.783,finisher,2.8,26.3,healthy
120,68.3,Landrace,2.76,3,Grower_2,2.56,1.078,grower,3.0,25.5,healthy
124,87.0,Landrace,3.63,2,Grower_1,2.99,1.214,grower,2.5,22.7,healthy
172,113.7,Large_White,4.04,2,Finisher_1,3.35,1.207,finisher,3.9,29.0,healthy
151,98.9,Large_White,3.62,2,Finisher_2,3.69,0.982,finisher,2.7,25.7,healthy
170,117.1,Duroc,4.6,2,Finisher_2,3.31,1.39,finisher,3.2,26.6,healthy
73,22.6,LW_LR_Cross,1.14,3,Starter_2,1.93,0.592,starter,2.9,27.8,healthy
22,5.0,Pietrain,0.28,4,Pre_Starter_2,1.56,0.177,pre_starter,3.0,24.9,healthy
108,70.6,Large_White,2.9,2,Grower_2,2.95,0.983,grower,2.6,31.6,healthy
178,104.2,Landrace,4.27,2,Finisher_1,3.76,1.134,finisher,2.7,27.3,sick
58,6.2,Large_White,0.29,3,Starter_2,2.01,0.144,starter,2.9,29.4,healthy
150,90.2,Large_White,3.04,2,Finisher_1,3.82,0.796,finisher,3.0,30.2,healthy
41,5.0,Duroc,0.27,3,Pre_Starter_2,1.53,0.175,pre_starter,2.7,23.5,healthy
78,22.2,Landrace,1.13,3,Starter_1,1.97,0.571,starter,3.0,27.1,healthy
42,5.0,Large_White,0.29,4,Pre_Starter_1,1.63,0.176,pre_starter,2.5,30.1,healthy
109,61.9,Large_White,2.22,2,Grower_1,2.83,0.784,grower,2.8,25.5,healthy
69,19.2,LW_LR_Cross,0.98,3,Starter_1,2.05,0.476,starter,3.0,28.8,healthy
79,25.6,Large_White,1.43,2,Starter_2,1.8,0.795,starter,2.7,25.8,healthy
35,5.0,Landrace,0.29,3,Pre_Starter_1,1.4,0.203,pre_starter,2.2,29.0,healthy
71,10.8,Landrace,0.52,3,Starter_2,2.08,0.249,starter,2.3,26.6,healthy
128,93.4,Large_White,4.14,2,Grower_1,2.58,1.606,grower,2.8,28.2,healthy
75,22.1,Large_White,1.1,3,Starter_1,2.01,0.55,starter,2.7,31.2,healthy
84,26.9,Landrace,0.96,2,Grower_1,2.33,0.412,grower,2.9,29.8,healthy
151,93.8,Pietrain,3.3,2,Finisher_1,4.07,0.811,finisher,3.6,26.2,recovering
71,13.2,Landrace,0.7,3,Starter_2,2.13,0.329,starter,2.5,29.3,healthy
155,115.0,Duroc,4.15,2,Finisher_1,3.37,1.234,finisher,2.6,29.0,healthy
41,5.0,LW_LR_Cross,0.31,4,Pre_Starter_1,1.73,0.179,pre_starter,2.0,31.0,healthy
93,34.1,Pietrain,1.17,3,Grower_1,2.58,0.454,grower,2.6,28.2,healthy
38,5.0,Landrace,0.27,3,Pre_Starter_1,1.42,0.193,pre_starter,2.5,28.2,healthy
152,99.6,Landrace,3.32,2,Finisher_1,3.65,0.909,finisher,3.1,30.0,healthy
109,87.6,Duroc,3.7,2,Grower_1,3.03,1.221,grower,3.6,30.0,healthy
80,39.6,Duroc,1.98,3,Starter_2,1.89,1.048,starter,2.9,36.0,healthy
34,5.0,Landrace,0.28,4,Pre_Starter_2,1.57,0.182,pre_starter,2.5,31.9,healthy
29,5.0,Duroc,0.31,3,Pre_Starter_2,1.55,0.201,pre_starter,2.8,28.1,healthy
110,69.8,Large_White,2.58,2,Grower_1,2.79,0.925,grower,2.3,27.8,healthy
73,15.5,Landrace,0.74,2,Starter_2,1.89,0.393,starter,2.6,26.1,healthy
150,104.5,Large_White,4.02,2,Finisher_1,3.75,1.072,finisher,2.4,24.3,healthy
104,68.2,Large_White,2.61,2,Grower_1,2.3,1.135,grower,3.2,28.3,healthy
112,72.9,Large_White,2.72,2,Grower_1,2.83,0.959,grower,2.4,22.7,healthy
131,110.6,Duroc,4.79,3,Finisher_1,3.29,1.454,finisher,3.3,32.9,healthy
